Facility Name,Site Address,Community,Inspection Area,Last Inspected,Last Infractions,Services
MENCHIE'S,"#3-247 KING ST N,  WATERLOO ON N2J 2Y8",WATERLOO,Food Safety,09-Jan-2020,2,-
MENCHIES FROZEN YOGURT,"#109B-1020 Ottawa St North,  KITCHENER ON N2A 3Z3",KITCHENER,Food Safety,28-Sep-2020,1,-
MERRY-HILL GOLF CLUB,"#2321 SHANTZ STATION RD,  WOOLWICH ON N0B 1M0",WOOLWICH,Food Safety,05-Sep-2019,,-
METRO CONVENIENCE,"#200 GLASGOW ST,  KITCHENER ON N2M 2M4",KITCHENER,Food Safety,-,,-
METRO RESTAURANT,"#164 VICTORIA ST N,  KITCHENER ON N2H 5C6",KITCHENER,Food Safety,20-Aug-2020,3,-
MH FINE FOODS,"#19 Ainslie St N,  Cambridge ON N1R 3J3",CAMBRIDGE,Food Safety,-,,-
MI TIENDA LATINA,"#103 ONTARIO ST S,  KITCHENER ON N2G 1X5",KITCHENER,Food Safety,12-Mar-2020,,-
MIA FRESCO - GRAND RIVER HOSPITAL - KW CAMPUS,"#835 KING ST W,  KITCHENER ON N2G 1G3",KITCHENER,Food Safety,23-Sep-2020,3,-
MIA'S CONVENIENCE STORE,"#600 GREENFIELD AVE,  KITCHENER ON N2C 2J9",KITCHENER,Food Safety,05-Feb-2020,,-
MIDDLE O' NOWHERE,"#1155 Crook's Tract Rd,  Woolwich Ontario N0B 2V0",WEST MONTROSE,Food Safety,20-Jul-2020,3,-
MIGA JAPANESE AND KOREAN RESTAURANT,"#1B-3101 KINGSWAY DR,  KITCHENER ON N2C 2M5",AYR,Food Safety,14-Jan-2021,1,-
MIGHTY MAI SNACKERY & COMFORT FOOD,"#B102-62 Balsam St,  Waterloo ON N2L 3H2",WATERLOO,Food Safety,10-Aug-2020,3,-
MILESTONES,"#410 The Boardwalk,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,21-Oct-2019,,-
MILK CONVENIENCE FAIR,"#3-1144 COURTLAND Ave E,  KITCHENER ON N2C 1K6",KITCHENER,Food Safety,17-Oct-2019,1,-
MILL COURTLAND COMMUNITY CENTER,"#216 MILL ST,  KITCHENER ON N2M 3R2",KITCHENER,Food Safety,07-Jul-2020,1,-
MILLEN WOODS CHILD CARE CENTRE,"#640 New Hampshire St,  WATERLOO ON N2K 0A5",WATERLOO,Food Safety,04-Nov-2020,,-
MILLENNIUM CONVENIENCE,"#2-700 WESTMOUNT RD E,  KITCHENER ON N2E 2V9",KITCHENER,Food Safety,08-Jan-2020,1,-
MILLSTREAM FOODS LIMITED/ECHO OILS/TRESVERTOL,"#A-632 Colby Drive,  Waterloo ON N2V 1A2",WATERLOO,Food Safety,06-Feb-2020,1,-
MILLSTREAM FOODS LIMITED/ECHO OILS/TRESVERTOL,"#401 Weber ST N,  WATERLOO ON N2J 3J2",WATERLOO,Food Safety,06-Dec-2019,,-
MILTON'S RESTAURANT,"#2979 KING ST E,  KITCHENER ON N2A 1A9",KITCHENER,Food Safety,23-Jun-2020,,-
MIMO THAI KITCHEN,"#104-318 Spruce street,  Waterloo N2L 0E9",WATERLOO,Food Safety,18-Nov-2020,,-
MING'S ASIAN FOOD MART,"#476 DUNDAS ST N,  CAMBRIDGE ON N1R 5R7",CAMBRIDGE,Food Safety,29-Jan-2020,1,-
MING'S RESTAURANT,"#49 Main ST,  Cambridge ON N1R 1V6",CAMBRIDGE,Food Safety,10-Nov-2020,3,-
MING'S RESTAURANT,"#4-465 PHILLIP ST,  WATERLOO ON N2L 6C7",WATERLOO,Food Safety,06-Feb-2020,1,-
MINI MAYS COOKIES,"#520-700 Strasburg Rd,  Kitchener ON N2E 2M2",KITCHENER,Food Safety,25-Feb-2020,,-
MINI STOP CONVENIENCE STORE,"#6-1120 VICTORIA ST N,  KITCHENER ON N2B 3T2",KITCHENER,Food Safety,06-Jan-2020,1,-
MIN'S BAKERY,"#114-251 HEMLOCK St,  Waterloo ON",AYR,Food Safety,17-Dec-2020,3,-
MIN'S BAKERY / MIN JIE FOOD,"#B11-619 WILD GINGER AVE,  WATERLOO ON N2V 2X1",WATERLOO,Food Safety,12-Feb-2020,3,-
MINT N MIX,"#543 Wood Nettle Way,  WATERLOO ON N2V 2X9",WATERLOO,Food Safety,26-Mar-2019,1,-
MIZU RESTAURANT,"#8B-150 University Ave,  Waterloo ON N1L 3E4",WATERLOO,Food Safety,21-Sep-2020,,-
MJ'S FOOD SERVICE,"#7215 County RD 51,  ARISS ON N0B 1B0",Outside Region,Food Safety,02-Mar-2020,,-
MJ'S GOURMET PIZZA,"#11 Westwood Dr,  KITCHENER ON N2M 2K5",KITCHENER,Food Safety,02-Mar-2020,2,-
MOBIL,"#1166 VICTORIA ST N,  KITCHENER ON N2B 3C9",KITCHENER,Food Safety,06-Jan-2020,,-
MODERN INDIA RESTAURANT,"#B-4355 KING ST E,  KITCHENER ON N2P 2E9",KITCHENER,Food Safety,15-Sep-2020,6,-
MODERNO BISTRO,"#2, 3-383 ELGIN ST N,  CAMBRIDGE ON N1R 8C1",CAMBRIDGE,Food Safety,05-Feb-2020,5,-
MOFFAT CREEK YMCA CHILD CARE,"#710 MYERS RD,  CAMBRIDGE ON N1P 0A8",CAMBRIDGE,Food Safety,17-Nov-2020,,-
MOLLY BLOOM'S IRISH PUB,"#170 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,18-Aug-2020,4,-
MOMMA BRICK'S GOODIES,"#100 Smith's Creek Dr,  New Hamburg ON N3A 1Z8",NEW HAMBURG,Food Safety,24-Apr-2019,,-
MOMO HOUSE,"#1118 King St E,  Cambridge ON N1H 3P6",CAMBRIDGE,Food Safety,16-Jul-2020,,-
MON AMI,"#12-151 Charles St W,  KITCHENER ON N2G 1H6",KITCHENER,Food Safety,14-Jan-2020,,-
MONICA PLACE,"#231 HERBERT ST,  WATERLOO ON N2J 1B1",WATERLOO,Food Safety,23-Sep-2020,,-
MONIGRAM COFFEE ROASTERS,"#C-16 Ainslie St S,  CAMBRIDGE ON N1R 3K1",CAMBRIDGE,Food Safety,07-Feb-2020,1,-
MONIGRAM COFFEE ROASTERS-THE OLD POST OFFICE,"#-12 Water St. S,  Cambridge ON",CAMBRIDGE,Food Safety,23-Sep-2019,2,-
MONSIGNOR DOYLE SCHOOL,"#185 MYERS RD,  CAMBRIDGE ON N1R 7H2",CAMBRIDGE,Food Safety,25-Sep-2019,,-
MONTANA'S COOKHOUSE,"#740 OTTAWA ST S,  KITCHENER ON N2E 3H5",KITCHENER,Food Safety,30-Oct-2020,,-
MONTANA'S COOKHOUSE,"#310 The Boardwalk,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,13-Feb-2020,1,-
MONTANA'S COOKHOUSE & BAR,"#40 PINEBUSH RD,  CAMBRIDGE ON N1R 8K5",CAMBRIDGE,Food Safety,18-Feb-2020,2,-
MONTENEGRO FOODS,"#9-192 ACTIVA Ave,  KITCHENER ON N2E 4K5",KITCHENER,Food Safety,09-Jan-2020,2,-
MONTESSORI ACADEMY LEARNING CENTRE OF CAMBRIDGE,"#82 BEVERLY ST,  CAMBRIDGE ON N1R 3Z7",AYR,Food Safety,17-Oct-2019,2,-
MONTESSORI SCHOOL OF CAMBRIDGE,"#9 ROSEVIEW Ave,  CAMBRIDGE ON N1R 4A5",CAMBRIDGE,Food Safety,11-Oct-2019,,-
MOONSHINE JUICERY,"#3-305 Northfield Dr. E,  WATERLOO ON N2V 2N4",WATERLOO,Food Safety,19-Jul-2019,,-
MOORCROFT FARMS,"#1798 DUMFRIES RD,  NORTH DUMFRIES ON N1R 5S5",NORTH DUMFRIES,Food Safety,03-Jul-2019,,-
MOOSE LODGE,"#655 WABANAKI DR,  KITCHENER ON N2C 2G3",KITCHENER,Food Safety,12-Dec-2019,,-
MOOSE WINOOSKI'S,"#20 Heldmann Rd,  KITCHENER ON N2P 2J1",KITCHENER,Food Safety,23-Jun-2020,1,-
MOPPET PARENT PARTICIPATING PRESCHOOL,"#171 FREDERICK ST,  KITCHENER ON N2H 2M6",KITCHENER,Food Safety,24-Sep-2020,,-
MORALS VILLAGE/DAGU RICE NOODLE,"#19-160 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,05-Mar-2020,2,-
MORNING GLORY CAFE,"#3121 KING ST E,  KITCHENER ON N2A 1B1",KITCHENER,Food Safety,02-Feb-2021,,-
MORNING GLORY CAFE AT THE FAMILY CENTRE,"#65 HANSON Ave,  KITCHENER ON N2C 2H6",KITCHENER,Food Safety,14-Jan-2020,2,-
MORNING GLORY CATERING,"#100-659 King St E,  KITCHENER ON N2G 2M4",KITCHENER,Food Safety,19-Feb-2020,,-
MORNINGSIDE MONTESSORI SCHOOL,"#450 KING ST E,  CAMBRIDGE ON N3H 3M9",CAMBRIDGE,Food Safety,21-Oct-2020,,-
MORSELS CAFE,"#150 MAIN ST,  CAMBRIDGE ON N1R 6P9",CAMBRIDGE,Food Safety,03-Feb-2020,,-
MORTY'S PUB,"#272 KING ST N,  WATERLOO ON N2J 2Y9",WATERLOO,Food Safety,08-Oct-2019,5,-
MOST CONVENIENT,"#D-569 Lancaster St W,  KITCHENER ON N2K 3M9",KITCHENER,Food Safety,10-Jan-2020,4,-
MOUNT ZION LUTHERAN CHURCH (KITCHEN),"#29 Westmount Rd S,  WATERLOO ON N2L 2K4",WATERLOO,Food Safety,13-Nov-2019,1,-
MOUNTAIN EQUIPMENT COOPERATIVE,"#10 Manitou Dr,  KITCHENER ON N2C 2N3",KITCHENER,Food Safety,02-Nov-2019,,-
MOUNTAINOAK CHEESE,"#3165 Huron Rd,  WILMOT ON N3A 3C3",WILMOT,Food Safety,23-Jul-2019,,-
MOVATI ATHLETIC-JUICE BAR,"#405 The Boardwalk,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,07-Feb-2020,1,-
MOXIE'S GRILL & BAR,"#385 Fairway Road S.,  Kitchener ON N2C 2N9",KITCHENER,Food Safety,17-Jun-2020,2,-
MOZY'S PREP KITCHEN AND COLD STORAGE,"#2-100 FROBISHER DR,  WATERLOO ON N2V 2A1",WATERLOO,Food Safety,25-Nov-2019,,-
MOZY'S SHAWARMA,"#2-471 HESPELER Rd,  CAMBRIDGE ON N1R 6J2",CAMBRIDGE,Food Safety,09-Sep-2020,3,-
MOZY'S SHAWARMA,"#247 KING ST N,  WATERLOO ON N2J 2Y8",WATERLOO,Food Safety,11-Aug-2020,,-
MR. CONVENIENCE TOO,"#55 Beverly St,  Cambridge ON N1R 3Z4",CAMBRIDGE,Food Safety,12-Jul-2019,,-
MR. PANINO BEIJING HOUSE,"#1-160 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,10-Feb-2021,3,-
MR. PRETZELS,"#M004D-2960 Kingsway Dr,  Kitchener ON N2C 1X1",KITCHENER,Food Safety,27-Nov-2019,,-
MR. PRETZELS,"#N9B-550  KING ST N,  WATERLOO ON N9B 5W6",KITCHENER,Food Safety,02-Mar-2020,,-
MR. STREET MEAT,"#-336 Eagle St. N,  Cambridge ON N3H 1C2",CAMBRIDGE,Food Safety,-,,-
MR. SUB,"#1500 WEBER ST E,  KITCHENER ON N2A 2Y5",KITCHENER,Food Safety,13-Jan-2021,,-
MR. SUB,"#600 DOON VILLAGE RD,  KITCHENER ON N2P 1G6",KITCHENER,Food Safety,17-Aug-2020,1,-
MR. SUB,"#479 MAIN ST E,  CAMBRIDGE ON N1R 1V6",CAMBRIDGE,Food Safety,22-Oct-2020,,-
MR. SUB,"#11-36 NORTHFIELD DRIVE E,  WATERLOO ON N2L 6A1",WATERLOO,Food Safety,07-Feb-2021,1,-
MR. SUB,"#102 KING ST N,  WATERLOO ON N2J 2X6",WATERLOO,Food Safety,06-Nov-2020,,-
MR. SUB,"#706 KING ST E,  CAMBRIDGE ON N3H 3N9",CAMBRIDGE,Food Safety,09-Jun-2020,,-
MR. SUB,"#470 HIGHLAND RD W,  KITCHENER ON N2M 3C7",KITCHENER,Food Safety,15-Jan-2020,,-
MR. SUB,"#585 WEBER ST N,  WATERLOO ON N2V 1V8",WATERLOO,Food Safety,01-Feb-2021,3,-
MR. SUB,"#69 MAIN ST,  CAMBRIDGE ON N1R 1V6",CAMBRIDGE,Food Safety,05-Mar-2020,2,-
MR. SUB,"#550 HESPELER RD,  CAMBRIDGE ON N1R 6J8",CAMBRIDGE,Food Safety,05-Nov-2020,3,-
MR. WOK,"#4-525 HIGHLAND RD W,  KITCHENER ON N2M 5K1",KITCHENER,Food Safety,21-Feb-2020,,-
MR. WU'S,"#312-25 FREDERICK ST,  KITCHENER ON N2H 6M8",KITCHENER,Food Safety,19-Sep-2019,3,-
MR. YIN RESTAURANT,"#3-150 University Ave,  Waterloo ON N2L 6J3",WATERLOO,Food Safety,19-Oct-2020,5,-
MS. SALTY CAKE BOUTIQUE,"#3-70 Dumart Pl,  Kitchener ON N2K 3C7",KITCHENER,Food Safety,04-Nov-2019,,-
MUCHO BURRITO,"#1-594 Hespeler Rd,  CAMBRIDGE ON N1R 6J8",CAMBRIDGE,Food Safety,08-Jan-2020,2,-
MUCHO BURRITO,"#102-4195 King Street E,  Kitchener Ontario N2P 2C1",KITCHENER,Food Safety,30-Jan-2020,1,-
MUCHO BURRITO,"#A-220 King St,  WATERLOO ON",WATERLOO,Food Safety,26-Aug-2020,2,-
"MUNCH BOX, THE","#667 Belmont Ave W,  Kitchener ON N2M 1N8",KITCHENER,Food Safety,27-Jan-2021,2,-
MURRAYS MILLWOOD MANOR,"#409 MILL ST,  KITCHENER ON N2M 3R9",KITCHENER,Food Safety,04-Feb-2021,3,-
MUYA GROCERY,"#102-215 Highland Rd W,  Kitchener ON N2M 3C1",KITCHENER,Food Safety,14-Nov-2019,5,-
MUYA RESTAURANT,"#105-215 HIGHLAND RD W,  KITCHENER ON N2G 1H2",KITCHENER,Food Safety,14-Nov-2019,3,-
MY BURGER,"#2 DUKE ST E,  KITCHENER ON N2H 1A3",KITCHENER,Food Safety,13-Aug-2020,9,-
MY CONVENIENCE STORE,"#1-280 VICTORIA ST N,  KITCHENER ON N2H 5E2",KITCHENER,Food Safety,06-Jan-2020,,-
MY PLACE RESTAURANT,"#96 HURON ST,  NEW HAMBURG ON N3A 1J3",NEW HAMBURG,Food Safety,12-Mar-2020,3,-
MYCHOPCHOP,"#511 Beaumont Crescent,  Kitchener ON N2A 4B5",KITCHENER,Food Safety,29-May-2019,1,-
MY-THAI RESTAURANT,"#44 Grand Ave S,  CAMBRIDGE ON N1S 2L6",CAMBRIDGE,Food Safety,06-Jul-2020,6,-
NAANWAY FOODS,"#14-160 FROBISHER DR,  WATERLOO ON N2V 2B1",WATERLOO,Food Safety,27-Nov-2019,2,-
NAGANO JAPANESE & KOREAN RESTAURANT,"#1-10 PINEBUSH RD,  CAMBRIDGE ON N1R 5S4",CAMBRIDGE,Food Safety,19-Nov-2020,4,-
NAIJA JOLLOF,"#102-280 Lester St,  Waterloo ON N2L 3W5",WATERLOO,Food Safety,23-Dec-2020,5,-
NANDO'S PERI PERI CHICKEN,"#M1-569 Fairway Rd S.,  KITCHENER ON N2C 1X4",KITCHENER,Food Safety,11-Mar-2020,1,-
NARA SUSHI,"#685 FISCHER-HALLMAN RD,  KITCHENER ON N2E 4R9",KITCHENER,Food Safety,19-Nov-2020,1,-
NATIONAL PASTA,"#2-3-25 STRUCK CRT,  CAMBRIDGE ON N1R 8L2",CAMBRIDGE,Food Safety,21-Aug-2020,1,-
NAUMANS FARM,"#3250 Hessen Strasse St,  WELLESLEY ON N0B 2M0",WELLESLEY,Food Safety,24-Oct-2019,,-
NEIGHBOURS COFFEE-PETRO CANADA,"#795 OTTAWA ST S,  KITCHENER ON N2E 1B6",KITCHENER,Food Safety,19-Mar-2019,,-
NEIGHBOURS MARKET,"#278 KING ST N,  WATERLOO ON N2J 2Y9",WATERLOO,Food Safety,29-Jul-2019,,-
NEVER ENOUGH THYME INC.,"#A-83 ARTHUR ST S,  ELMIRA ON N3B 2M8",ELMIRA,Food Safety,21-Oct-2020,,-
NEW CHINA,"#8-900 JAMIESON PKY,  CAMBRIDGE ON N3C 4N6",CAMBRIDGE,Food Safety,05-Aug-2020,3,-
NEW CITY SUPERMARKET,"#236 KING ST E,  KITCHENER ON N2G 2L1",KITCHENER,Food Safety,20-Dec-2020,3,-
NEW CORNER VARIETY,"#25 INDUSTRIAL DR,  ELMIRA ON N3B 3K3",ELMIRA,Food Safety,22-Jan-2020,,-
NEW DELHI FINE INDIAN CUISINE,"#9-720 Westmount Rd E,  Kitchener ON N2E 5M6",KITCHENER,Food Safety,09-Sep-2020,,-
NEW DUNDEE COMMUNITY CENTRE,"#1028 QUEEN ST,  NEW DUNDEE ON N0B 2E0",NEW DUNDEE,Food Safety,28-Aug-2019,,-
NEW DUNDEE EMPORIUM,"#169 FRONT ST,  NEW DUNDEE ON N0B 2E0",NEW DUNDEE,Food Safety,28-Oct-2020,1,-
NEW DUNDEE VILLAGE MARKET,"#1-1166 QUEEN ST,  NEW DUNDEE ON N0B 2E0",NEW DUNDEE,Food Safety,23-Jul-2019,1,-
NEW HAMBURG CO-OP PRESCHOOL,"#3433 Huron Rd,  Haysville ON N3A 3C4",NEW HAMBURG,Food Safety,25-Sep-2020,,-
NEW HAMBURG LANES,"#1-182 UNION ST,  NEW HAMBURG ON N3A 1R5",NEW HAMBURG,Food Safety,26-Nov-2019,1,-
NEW ORLEANS PIZZA,"#385 WATERLOO ST   UNIT 5,  NEW HAMBURG ON N3A 1S6",NEW HAMBURG,Food Safety,23-Jan-2020,,-
NEW ORLEANS PIZZA,"#425 UNIVERSITY Ave E,  WATERLOO ON N2K 4C9",WATERLOO,Food Safety,11-Sep-2020,,-
NEW ORLEANS PIZZA,"#3650 LOBSINGER LINE,  ST. CLEMENTS ON N0B 2M0",ST. CLEMENTS,Food Safety,13-Mar-2020,,-
NEW ORLEANS PIZZA,"#41-130 CEDAR ST S,  CAMBRIDGE ON N1S 1W4",CAMBRIDGE,Food Safety,14-Jan-2020,1,-
NEW ORLEANS PIZZA,"#900 JAMIESON PKY,  CAMBRIDGE ON N3C 4N6",CAMBRIDGE,Food Safety,12-Nov-2020,5,-
NEW YORK FRIES,"#355 HESPELER RD,  CAMBRIDGE ON N1R 6B3",CAMBRIDGE,Food Safety,10-Feb-2020,2,-
NEW YORK FRIES,"#550 KING ST N,  WATERLOO ON N2L 5W6",WATERLOO,Food Safety,02-Oct-2020,1,-
NEW YORK FRIES,"#2960 KINGSWAY DR,  KITCHENER ON N2C 1X1",KITCHENER,Food Safety,13-Jul-2020,,-
NFKM - SOUPSON MEALS,"#300 King Street East,  Kitchener ON",KITCHENER,Food Safety,07-Feb-2020,1,-
NFL - J.F CARMICHAEL PUBLIC SCHOOL,"#80 Patricia Ave,  Kitchener ON N2M 1J3",KITCHENER,Food Safety,06-Dec-2019,2,-
NFL-SHEPPARD SCHOOL,"#278 WEBER ST E,  KITCHENER ON N2G 1H7",KITCHENER,Food Safety,03-Dec-2019,,-
NIDHA'S TREAT,"#273 McMeeken Drive,  Cambridge ON N3C 4N7",CAMBRIDGE,Food Safety,27-Jan-2020,,-
NISHA'S KITCHEN,"#12-200 Lorraine Ave,  KITCHENER ON N2B 3R3",KITCHENER,Food Safety,17-Jun-2020,3,-
NITH RIVER CAMPGROUND - FOOD,"#4417 Wilmot-Easthope Rd,  WILMOT ON N3A 3S8",BADEN,Food Safety,11-Jun-2019,1,-
NITH RIVER CHOP HOUSE,"#1193 QUEEN'S BUSH RD,  WELLESLEY ON N0B 2T0",WELLESLEY,Food Safety,27-Dec-2019,1,-
NITH VALLEY BUTCHER & DELI,"#125 Hamilton Rd,  NEW HAMBURG ON",NEW HAMBURG,Food Safety,12-Aug-2020,3,-
NITHRIDGE ESTATE WEDDINGS AND EVENTS,"#180 Nith River Way,  Ayr ON N0B 1E0",AYR,Food Safety,17-Jul-2019,1,-
NITHVIEW HOME,"#200 BOULLEE ST,  NEW HAMBURG ON N3A 2K4",NEW HAMBURG,Food Safety,19-Nov-2020,4,-
NKFM - KIKI'S KITCHEN,"#300 KING ST E,  KITCHENER Ontario",KITCHENER,Food Safety,07-Feb-2020,2,-
NKFM - MILKY WAY FARM,"#300 King Street East,  Kitchener ON N2G 2L3",KITCHENER,Food Safety,29-Oct-2019,,-
NKFM - NARANJ BLOSSOM,"#300 King St E,  Kitchener ON N2H 2V5",KITCHENER,Food Safety,31-Oct-2020,2,-
NKFM - PLAISIRS PARTAGES,"#300 King St E,  Kitchener ON N2H 2W8",AYR,Food Safety,31-Oct-2020,,-
NKFM - SAHA INTERNATIONAL CUISINE,"#300 KING ST E,  KITCHENER ON",KITCHENER,Food Safety,-,,-
NKFM - SAUSAGE FACTORY,"#300 King St E,  Kitchener ON N2G 2L3",KITCHENER,Food Safety,30-Oct-2019,,-
NKFM - VIVA BRAZIL CANADA,"#300 King St E,  KITCHENER ON N2H 2W8",AYR,Food Safety,-,,-
NKFM- GOURMANDE,"#300 KING ST E,  KITCHENER Ontario N2H 2V5",KITCHENER,Food Safety,-,,-
NKFM- MVP MEALS,"#300 KING ST E,  KITCHENER ON",KITCHENER,Food Safety,18-Sep-2019,1,-
NKFM- REFINED BRINES,"#300 KING ST. E,  KITCHENER Ontario",KITCHENER,Food Safety,29-Oct-2019,,-
NKFM- ROGERS RANCH,"#300 King St E,  Kitchener ON N2G 2L3",AYR,Food Safety,-,,-
NKFM- WOLF HERBS,"#300 King St E,  KITCHENER ON N2H 2W8",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-A TASTE OF SEOUL,"#300 King St E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-ACKROYD'S HONEY INC.,"#300 King St E,  KITCHENER ON N2H 2W8",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-AL MADINA EGYPTIAN CUISINE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,02-Nov-2020,3,-
NKFM-ANGELA'S DELI,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,02-Nov-2020,,-
NKFM-ANGELOS OLIVE BAR,"#300 King St E,  Kitchener ON",AYR,Food Safety,02-Nov-2020,1,-
NKFM-ANNA TOLAZZI,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-BAST CHEESE CO.,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-BERBATI PREMIUM OLIVE PRODUCTS,"#300 King St E,  Kitchener ON",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-BITTERSWEETTART,"#300 King St E,  KITCHENER ON N2H 2W8",KITCHENER,Food Safety,-,,-
NKFM-BOLERO PIZZA & PASTA HOUSE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,2,-
NKFM-BOLERO PIZZA AND PASTA HOUSE-DOWNSTAIRS,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-BREAD & BRETZEL BASKET,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-CAUDLE`S CATCH SEAFOOD LTD,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-CHARLES QUALITY MEATS,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,02-Nov-2020,1,-
NKFM-CRESSMAN MEATS LTD.,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,2,-
NKFM-DINO'S FRUITS AND VEGETABLES,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,-,,-
NKFM-DOUG'S HONEY,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-EMU OIL PRODUCTS,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-ESSEN,"#300 King Street East,  Kitchener ON",KITCHENER,Food Safety,-,,-
NKFM-ESZES FARMS,"#300 King St E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-EURO FOOD,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,02-Nov-2020,,-
NKFM-EVERY DAY GOURMET,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,02-Nov-2020,1,-
NKFM-FEKETE'S PRODUCE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-FINEST SAUSAGE & MEATS,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,1,-
NKFM-FLEETWOOD FARMS,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-FOREST HILL ORCHARD,"#300 KING St E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,-,,-
NKFM-FUTURE BAKERY,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-G & G FAMILY PRODUCE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-GMACH PRODUCE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,29-Oct-2019,,-
NKFM-KARLIK PASTRY,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,1,-
NKFM-KAROO,"#300 KING ST E,  KITCHENER ON",KITCHENER,Food Safety,-,,-
NKFM-KENDY'S PRODUCE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,,-
NKFM-KIPFERS HERITAGE FARMS,"#300 King St E,  Kitchener ON",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-KUEPFER'S HONEY,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-KURTS NUTS,"#300 King St E,  KITCHENER ON",KITCHENER,Food Safety,26-Oct-2019,1,-
NKFM-LA CASBAH,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,02-Nov-2020,,-
NKFM-LA FLOR DE IZOTE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,02-Nov-2020,2,-
NKFM-LA LOLA CATERING,"#300 King St E,  Kitchener ON",KITCHENER,Food Safety,29-Oct-2019,1,-
NKFM-LESTER GINGERICH ORGANIC FARM,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-LOVELL SPRINGS TROUT FARM,"#300 King St E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-MARTINS MAPLE SYRUP,"#300 KING St E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-MEATARIAN INC,"#300 KING ST E,  KITCHENER ON",KITCHENER,Food Safety,31-Oct-2020,2,-
NKFM-MICKEY MCGUIRES CHEESE,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,,-
NKFM-MYROVOLOS,"#300 King St E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,31-Oct-2020,3,-
NKFM-NORRIS BAKERY LTD.,"#300 KING ST E,  KITCHENER ON N2G 2L3",KITCHENER,Food Safety,26-Oct-2019,2,-
